mp-754118,3.284
mp-633688,2.986
mp-3799,0
mp-12487,1.5437
mp-775132,2.5611
mp-9712,1.4707
mp-754249,1.9033
mp-758115,4.0826
mp-755009,3.6858
mp-32736,1.6228
mp-755364,0.3135
mp-19113,0
mp-31808,2.3365
mp-772777,4.1479
mp-558875,2.9258
mp-561117,2.4655
mp-849412,2.0484
mp-772260,3.9595
mp-540352,1.2408
mp-541044,2.8461
mp-557769,3.5377
mp-30055,0.5879
mp-28435,0.1651
mp-772343,2.8625
mp-15257,0.5452
mp-29796,4.3163
mp-23339,4.5138
mp-766236,3.234
mp-5477,2.6377
mp-41732,1.0086
mp-560768,3.98
mp-734019,3.0835
mp-781076,2.512
mp-3075,1.7633
mp-32041,2.7645
mp-34144,4.5901
mp-2908,3.848
mp-771075,0.7571
mp-772365,0.628
mp-642646,5.3669
mp-753472,2.7385
mp-566057,2.1498
mp-743928,4.0278
mp-6219,4.3264
mp-779364,1.4462
mp-5380,1.2956
mp-24034,2.8901
mp-555447,4.9293
mp-12355,3.8316
mp-642831,5.7249
mp-23084,2.0993
mp-540946,4.0224
mp-767302,3.4624
mp-7090,1.076
mp-7223,1.3783
mp-8989,1.5409
mp-763957,0.2317
mp-770215,0.2891
mp-769727,0.2504
mp-781501,1.6345
mp-763868,2.2008
mp-566333,0.7852
mp-28030,3.2417
mp-779362,3.1151
mp-761478,3.4154
mp-776520,2.5495
mp-570393,0.3185
mp-864993,0.2135
mp-9272,1.0256
mp-553962,2.3099
mp-780890,4.4246
mp-560381,3.4446
mp-780753,0
mp-17864,5.501
mp-676023,5.5722
mp-771413,0.6219
mp-26702,3.3131
mp-32495,1.8278
mp-773039,2.8371
mp-37680,1.2094
mp-767357,4.4561
mp-6625,1.3669
mp-18411,1.9947
mp-761841,3.4618
mp-684504,3.8819
mp-556088,5.68
mp-771161,2.3516
mp-29955,1.1701
mp-9807,4.3661
mp-13816,6.8648
mp-780214,0.5867
mp-768009,1.0661
mp-556806,4.1734
mp-773605,2.6021
mp-644409,5.7423
mp-531820,2.8323
mp-775684,1.1051
mp-779807,0.1121
mp-849371,0.6937
mp-764229,2.0841
mp-15895,1.6051
mp-778593,0.6203
mp-753360,3.1144
mp-559227,1.9845
mp-675989,0.8311
mp-723064,2.4321
mp-562977,2.7775
mp-557915,5.4709
mp-557285,2.801
mp-767932,2.1707
mp-679930,1.0115
mp-557012,4.5457
mp-774424,1.3694
mp-552806,3.1967
mp-1009127,2.9211
mp-562012,2.8389
mp-989197,2.5356
mp-554236,5.3002
mp-6046,2.1525
mp-777422,4.7409
mp-14835,2.5813
mp-18944,4.7451
mp-541670,0.6532
mp-763843,0.5212
mp-540065,1.3557
mp-769632,0.9599
mp-32012,0.3509
mp-23005,0.5998
mp-765074,1.0013
mp-780129,1.4516
mp-573324,4.8913
mp-764190,4.5278
mp-7571,5.1353
mp-567407,0.7994
mp-764567,1.7982
mp-867676,3.7585
mp-31134,1.0698
mp-531793,4.021
mp-768120,3.7817
mp-3817,1.8445
mp-744579,3.1615
mp-765658,1.5232
mp-759711,1.3659
mp-28288,1.8242
mp-553998,3.391
mp-626690,1.5132
mp-775357,1.9104
mp-850441,2.0038
mp-764324,2.7449
mp-774317,2.4021
mp-8207,0.3682
mp-753714,2.4741
mp-772040,1.8319
mp-574580,1.1367
mp-557874,2.9067
mp-614628,4.4315
mp-779092,1.4655
mp-568287,2.4561
mp-7233,2.4292
mp-555088,2.8181
mp-770448,2.6215
mp-997094,1.6597
mp-752767,1.8451
mp-771077,2.517
mp-761814,2.5867
mp-32087,3.9111
mp-16001,0.5599
mp-561288,0
mp-19325,2.3003
mp-764627,0.8151
mp-676874,1.8428
mp-567090,1.9221
mp-706277,1.3277
mp-540584,1.366
mp-744192,3.2086
mp-14036,2.2045
mp-542478,0.692
mp-868320,3.1307
mp-771807,0.7276
mp-998739,4.253
mp-625653,4.0857
mp-540474,0.8719
mp-772241,1.7332
mp-753309,3.9646
mp-762639,3.0271
mp-540631,3.5181
mp-760501,2.8152
mp-7060,0.653
mp-770124,2.7068
mp-763307,0.2363
mp-36447,3.257
mp-32395,3.7318
mp-540686,5.4136
mp-753809,3.817
mp-765073,2.1914
mp-770941,0.7771
mp-775082,1.3748
mp-558578,2.4336
mp-768026,2.8632
mp-568633,3.0152
mp-746030,3.2921
mp-573815,0.958
mp-761806,0.6342
mp-581834,1.778
mp-19247,2.6851
mp-556343,3.8464
mp-8081,4.9678
mp-677095,2.3158
mp-770913,1.3037
mp-25725,2.3101
mp-6189,0.8509
mp-14105,2.2544
mp-767793,0.7085
mp-23405,2.2091
mp-762935,1.487
mp-770094,0.5357
mp-775524,1.2531
mp-1568,1.9334
mp-782053,3.6325
mp-24560,4.8897
mp-976148,0.6879
mp-556463,3.5216
mp-19094,0
mp-24921,2.7923
mp-542512,0.4899
mp-9646,4.6655
mp-1019524,4.5633
mp-540566,1.2816
mp-779172,1.5987
mp-29468,1.6613
mp-561066,0.8102
mp-768330,2.4065
mp-33684,0
mp-571412,1.8426
mp-698479,4.9456
mp-769144,2.0668
mp-19896,2.4018
mp-600018,5.4479
mp-778916,2.974
mp-27774,1.4273
mp-12160,4.762
mp-780510,0.2926
mp-850469,2.9047
mp-22951,4.0286
mp-762908,3.0021
mp-778064,0.9393
mp-22882,4.8768
mp-764002,1.5322
mp-25694,0
mp-769890,1.8923
mp-31958,1.1754
mp-571478,0.9464
mp-766365,3.5357
mp-764528,1.4718
mp-622026,1.358
mp-775432,1.192
mp-770178,0.9975
mp-567398,1.4132
mp-555048,4.6188
mp-762841,2.5572
mp-755977,2.7963
mp-561479,2.0234
mp-773194,0.6098
mp-28941,1.1148
mp-28372,1.743
mp-763483,3.7267
mp-999274,2.4089
mp-756868,1.9797
mp-733590,0.3827
mp-25041,2.6765
mp-559573,1.2937
mp-7467,0.9728
mp-779246,1.3094
mp-559292,2.358
mp-754572,3.4994
mp-7220,2.2049
mp-761384,0.83
mp-777713,0.4271
mp-707373,3.202
mp-771570,3.4312
mp-7290,2.1932
mp-15900,1.6388
mp-24197,0.6004
mp-774289,1.0523
mp-763089,0.3772
mp-705785,0
mp-14588,0.985
mp-767452,0.5755
mp-29849,0.9485
mp-566574,0.7772
mp-19154,1.7453
mp-14712,3.4744
mp-578796,3.0655
mp-850152,2.8521
mp-566698,1.4964
mp-19442,1.5124
mp-569128,1.4934
mp-755870,2.0642
mp-770534,1.3872
mp-546285,0.8325
mp-771382,0.3961
mp-505130,4.1796
mp-8255,2.6757
mp-504891,0.4504
mp-763560,0.7192
mp-766781,3.0717
mp-780258,2.0012
mp-770106,0.9995
mp-19509,0.9054
mp-29713,2.1717
mp-30229,0.765
mp-669389,1.8304
mp-769595,1.6105
mp-5055,1.4006
mp-764141,2.1406
mp-18148,2.7558
mp-25769,3.4963
mp-8161,1.0092
mp-39511,3.665
mp-704810,2.5105
mp-753945,3.6469
mp-772238,2.4436
mp-772382,3.0424
mp-676156,1.1315
mp-984555,2.2782
mp-558985,4.4117
mp-850105,0.521
mp-761379,1.7605
mp-763842,2.4324
mp-756633,2.7233
mp-776402,3.206
mp-632319,2.9646
mp-565565,3.3922
mp-17719,2.0024
mp-699390,3.0981
mp-776791,3.7898
mp-18572,5.3294
mp-645796,2.5518
mp-754741,3.4273
mp-773285,3.4427
mp-25065,2.2457
mp-767364,2.6899
mp-7470,1.2813
mp-764467,1.8659
mp-558883,4.5652
mp-28815,2.0558
mp-25157,2.4733
mp-769297,2.9673
mp-21084,1.0134
mp-559171,2.3814
mp-626486,5.2574
mp-778752,2.4632
mp-566745,2.2925
mp-772991,0.3796
mp-559419,4.6715
mp-1019600,1.9005
mp-6757,2.6198
mp-4657,3.7925
mp-764556,0.6784
mp-760510,2.2483
mp-1019545,4.1943
mp-773679,0.4436
mp-765509,2.0792
mp-473,1.9682
mp-641117,1.4582
mp-30244,3.5667
mp-767197,3.2111
mp-774116,1.0053
mp-7774,0.6385
mp-600941,2.4851
mp-762034,1.0697
mp-974451,4.3136
mp-776883,2.1356
mp-780046,2.9707
mp-24956,1.5929
mp-566312,4.1992
mp-6892,4.5304
mp-18890,3.7057
mp-541677,1.7051
mp-566164,3.078
mp-753748,2.2334
mp-763406,2.6215
mp-704753,2.2744
mp-556737,1.1657
mp-510128,2.5926
mp-767817,1.5255
mp-9037,2.2758
mp-5479,6.8971
